N_equipe_prof,N_Classe,N_Matiere,N_Professeur
010101,01,01,01
010202,01,02,02
010303,01,03,03
010406,01,04,06
010507,01,05,07
010608,01,06,08
010709,01,07,09
010806,01,08,06
010910,01,09,10
011006,01,10,06
011112,01,11,12
011213,01,12,13
011314,01,13,14
011415,01,14,15
011516,01,15,16
011617,01,16,17
011717,01,17,17
011805,01,18,05
020101,02,01,01
020218,02,02,18
020317,02,03,17
020420,02,04,20
020521,02,05,21
020610,02,06,10
020709,02,07,09
020820,02,08,20
020910,02,09,10
021024,02,10,24
021127,02,11,27
021213,02,12,13
021329,02,13,29
021415,02,14,15
021528,02,15,28
021623,02,16,23
021717,02,17,17
021819,02,18,19
030101,03,01,01
030230,03,02,30
030317,03,03,17
030431,03,04,31
030532,03,05,32
030634,03,06,34
030717,03,07,17
030831,03,08,31
030917,03,09,17
031024,03,10,24
031112,03,11,12
031235,03,12,35
031329,03,13,29
031436,03,14,36
031528,03,15,28
031633,03,16,33
031717,03,17,17
031805,03,18,05
040101,04,01,01
040237,04,02,37
040317,04,03,17
040438,04,04,38
040539,04,05,39
040640,04,06,40
040709,04,07,09
040838,04,08,38
040910,04,09,10
041041,04,10,41
041142,04,11,42
041944,04,19,44
041343,04,13,43
041445,04,14,45
041546,04,15,46
041633,04,16,33
041717,04,17,17
041819,04,18,19
050101,05,01,01
050247,05,02,47
050348,05,03,48
050406,05,04,06
050539,05,05,39
050608,05,06,08
050709,05,07,09
050806,05,08,06
050910,05,09,10
051049,05,10,49
051150,05,11,50
051950,05,19,50
051351,05,13,51
051452,05,14,52
051553,05,15,53
051617,05,16,17
051717,05,17,17
051819,05,18,19
060101,06,01,01
060254,06,02,54
060317,06,03,17
060455,06,04,55
060525,06,05,25
060656,06,06,56
060709,06,07,09
060855,06,08,55
060910,06,09,10
061045,06,10,45
061127,06,11,27
061217,06,12,17
061343,06,13,43
061415,06,14,15
061557,06,15,57
061623,06,16,23
061717,06,17,17
061819,06,18,19
070101,07,01,01
070258,07,02,58
070304,07,03,04
070420,07,04,20
070521,07,05,21
070661,07,06,61
070709,07,07,09
070820,07,08,20
070910,07,09,10
071063,07,10,63
071150,07,11,50
072059,07,20,59
071314,07,13,14
071415,07,14,15
071557,07,15,57
071660,07,16,60
071717,07,17,17
071819,07,18,19
080101,08,01,01
080202,08,02,02
080317,08,03,17
080464,08,04,64
080525,08,05,25
080610,08,06,10
080709,08,07,09
080864,08,08,64
080910,08,09,10
081066,08,10,66
081142,08,11,42
081217,08,12,17
081329,08,13,29
081436,08,14,36
081516,08,15,16
081665,08,16,65
081717,08,17,17
081805,08,18,05
090101,09,01,01
090267,09,02,67
092214,09,22,14
090468,09,04,68
090507,09,05,07
090669,09,06,69
090709,09,07,09
090868,09,08,68
090909,09,09,09
091052,09,10,52
091170,09,11,70
091217,09,12,17
091314,09,13,14
091415,09,14,15
091571,09,15,71
091660,09,16,60
091717,09,17,17
091819,09,18,19
100101,10,01,01
100272,10,02,72
100304,10,03,04
100473,10,04,73
100574,10,05,74
100626,10,06,26
100717,10,07,17
100873,10,08,73
102214,10,22,14
101075,10,10,75
101176,10,11,76
101217,10,12,17
101351,10,13,51
101436,10,14,36
101546,10,15,46
101665,10,16,65
101717,10,17,17
101805,10,18,05
110117,11,01,17
110278,11,02,78
110304,11,03,04
110455,11,04,55
110532,11,05,32
110626,11,06,26
110717,11,07,17
110855,11,08,55
110909,11,09,09
111077,11,10,77
111179,11,11,79
111217,11,12,17
111329,11,13,29
111466,11,14,66
111571,11,15,71
111622,11,16,22
111717,11,17,17
111805,11,18,05
072162,07,21,62
